0,1,2
0.12450909,0.12450909,0.12450909
0.19530909,0.19530909,0.19530909
0.29923636,0.29923636,0.29923636
0.42087272,0.42087272,0.42087272
0.5136727,0.5136727,0.5136727
0.59196365,0.59196365,0.59196365
0.66287273,0.66287273,0.66287273
0.714,0.714,0.714
0.7625818,0.7625818,0.7625818
0.8060727,0.8060727,0.8060727
0.83036363,0.83036363,0.83036363
0.8509091,0.8509091,0.8509091
0.8698909,0.8698909,0.8698909
0.8873818,0.8873818,0.8873818
0.9053091,0.9053091,0.9053091
0.9169818,0.9169818,0.9169818
0.92407274,0.92407274,0.92407274
0.9302545,0.9302545,0.9302545
0.93505454,0.93505454,0.93505454
0.94152725,0.94152725,0.94152725
0.9469454,0.9469454,0.9469454
0.9513091,0.9513091,0.9513091
0.9556,0.9556,0.9556
0.9594909,0.9594909,0.9594909
0.9626909,0.9626909,0.9626909
0.9656,0.9656,0.9656
0.9690545,0.9690545,0.9690545
0.9729091,0.9729091,0.9729091
0.97654545,0.97654545,0.97654545
0.97956365,0.97956365,0.97956365
0.98203635,0.98203635,0.98203635
0.98454547,0.98454547,0.98454547
0.98661816,0.98661816,0.98661816
0.98890907,0.98890907,0.98890907
0.9908364,0.9908364,0.9908364
0.9930182,0.9930182,0.9930182
0.99505454,0.99505454,0.99505454
0.9964727,0.9964727,0.9964727
0.99727273,0.99727273,0.99727273
0.99807274,0.99807274,0.99807274
0.9984364,0.9984364,0.9984364
0.9988,0.9988,0.9988
0.9990182,0.9990182,0.9990182
0.99923635,0.99923635,0.99923635
0.99938184,0.99938184,0.99938184
0.9995273,0.9995273,0.9995273
0.9996727,0.9996727,0.9996727
0.99970907,0.99970907,0.99970907
0.9997454,0.9997454,0.9997454
0.9997454,0.9997454,0.9997454
0.9997454,0.9997454,0.9997454
0.99978185,0.99978185,0.99978185
0.9998182,0.9998182,0.9998182
0.9998182,0.9998182,0.9998182
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.99985456,0.99985456,0.99985456
0.9998909,0.9998909,0.9998909
0.9998909,0.9998909,0.9998909
0.9998909,0.9998909,0.9998909
0.9998909,0.9998909,0.9998909
